page,content
1,"PROGRAMM FÜR
DEUTSCHLAND.
Das Grundsatzprogramm der Alternative für Deutschland.
"
2,"2 Programm für Deutschland | Inhalt
  Präambel						                                             06 4 | Außen- und Sicherheitspolitik				                          28
  1 | Demokratie und Grundwerte				                          07   4.1 Vereinte Nationen reformieren				                        30
                                                                  4.2 NATO als Verteidigungsbündnis			                         30
    1.1 Volksabstimmungen nach Schweizer Vorbild		           09
                                                                  4.3 OSZE und europäische Sicherheitsstruktur		               31
    1.2 Schlanker Staat für freie Bürger				                 09
                                                                  4.4 Bundeswehr stärken					                                  31
    1.3 Die Gewaltenteilung gewährleisten			                 10
                                                                  4.4.1 Keine europäische Armee				                            31
    1.4 Trennung von Amt und Mandat				                      10
                                                                  4.4.2 Wehrpflicht wieder einsetzen                           32
    1.5 Macht der Parteien beschränken			                    11
                                                                  4.5 Entwicklungshilfe					                                   32
    1.5.1 Parteienfinanzierung dem Verfassungsrecht anpassen 11
    1.5.2 Freie Listenwahl und freies Mandat			              12
                                                                5 | Arbeitsmarkt und Sozialpolitik			                          34
    1.5.3 Verkleinerung des Bundestages				                  13
    1.5.4 Wider das Berufspolitikertum: Amtszeit begrenzen   13   5.1 Arbeitsmarkt von unnötiger Bürokratie befreien		         36
    1.5.5 Direktwahl des Bundespräsidenten durch das Volk    13   5.2 Bundesagentur für Arbeit auflösen und kommunale
    1.6 Lobbyismus eindämmen				                             13 		      Jobcenter aufwerten					                               36
    1.6.1 Private Rentenvorsorge für Parlamentarier		        14   5.3 Mindestlohn beibehalten				                              36
    1.6.2 Einführung eines Straftatbestandes der                  5.4 Reform der sozialen Sicherungssysteme			                 36
  		      Steuerverschwendung					                           14   5.4.1 Finanzielle Benachteiligung von Familien beseitigen    37
                                                                  5.4.2 “Aktivierende Grundsicherung” - Arbeit, die sich lohnt 37
  2 | Europa und Euro						                                  15   5.4.3 Kinder und Erziehungsleistung bei der Rente
                                                                		      berücksichtigen						                                  37
    2.1   Ein Europa der Vaterländer				                     17
                                                                  5.4.4 Pflege durch Angehörige aufwerten                      37
    2.2   Kompetenzen an die Nationalstaaten zurückgeben     17
    2.3   Bündelung gemeinsamer europäischer Interessen      18
                                                                6 | Familien und Kinder					                                   39
    2.4   Volksabstimmung über den EURO			                   18
    2.5   Keine deutsche Haftung für ausländische Banken     21   6.1   Bekenntnis zur traditionellen Familie als Leitbild     41
                                                                  6.2   Mehr Kinder statt Masseneinwanderung		                 41
  3 | Innere Sicherheit und Justiz				                       23   6.3   Mehr Unterstützung für Familien			                     42
                                                                  6.4   Wirtschaftliche Zukunft trotz Demografiekrise          42
    3.1   Polizei stärken und Strafjustiz verbessern		       25
                                                                  6.5   Diskriminierung der Vollzeit-Mütter stoppen		          43
    3.2   Weisungsfreie Staatsanwälte, unabhängige Richter
                                                                  6.6   Alleinerziehende unterstützen. Familien stärken        43
  		      und parteiferne Rechnungshöfe				                  25
                                                                  6.7   Willkommenskultur für Neu- und Ungeborene		            44
    3.3   Angriffe auf Amtspersonen härter bestrafen		       26
    3.4   Opferschutz statt Täterschutz				                  26
    3.5   Waffenrecht muss nicht verschärft werden		         26
    3.6   Kein Datenschutz für Täter				                     27
    3.7   Organisierte Kriminalität nachhaltig bekämpfen		   27
    3.8   Zivil- und Fachgerichte sind ein Standortfaktor		  27
    3.9   Deutsche Grenzen schützen				                      27
"
3,"3 Programm für Deutschland | Inhalt
  7 | Kultur, Sprache und Identität				                                  45 9 | Einwanderung, Integration und Asyl			                      57
    7.1 		 Deutsche Kultur, Sprache und Identität erhalten               47   9.1 Keine irreguläre Einwanderung über das Asylrecht         59
    7.2 		 Deutsche Leitkultur statt Multikulturalismus		                47   9.1.1 Asylzuwanderung - für einen Paradigmenwechsel          59
    7.3 		 Die deutsche Sprache als Zentrum unserer Identität            47   9.1.2 Rückführung - Schluss mit Fehlanreizen und 			
    7.4      Kultur und Kunst von Einflussnahme der Parteien befreien    48 		      falscher Nachsicht					                                60
    7.5 		 Für eine zeitgemäße Medienpolitik: Rundfunkbeitrag abschaffen 48   9.2 Einwanderung aus EU-Staaten				                          61
    7.6 		 Der Islam im Spannungsverhältnis zu unserer Werteordnung      48   9.3 Gesteuerte Einwanderung aus Drittstaaten		               62
    7.6.1		 Der Islam gehört nicht zu Deutschland			                     49   9.4 Integration - Mehr als nur Deutsch lernen		              63
    7.6.2		 Kritik am Islam muss erlaubt sein			                         49   9.5 Kosten der Einwanderung - Transparenz herstellen         63
    7.6.3 Auslandsfinanzierung von Moscheen beenden                      49   9.6 Einwandererkriminalität - nichts verschleiern,
    7.6.4		 Keine öffentlich-rechtliche Körperschaft für                    		      nichts verschweigen					                               64
    			      islamische Organisationen				                               50   9.7 Einbürgerung - Abschluss gelungener Integration          65
    7.6.5		 Keine Vollverschleierung im öffentlichen Raum                50
                                                                            10 | Wirtschaft, digitale Welt und Verbraucherschutz           66
  8 | Schule, Hochschule und Forschung			                                51   10.1		 Freier Wettbewerb sichert unseren Wohlstand		         67
    8.1 		 Forschung und Lehre: In Freiheit und als Einheit              52   10.2 		 Soziale Marktwirtschaft statt Planwirtschaft		       67
    8.1.1 Autonomie durch Grundfinanzierung stärken                      52   10.3 		 Internationale Wirtschaftspolitik neu ausrichten     67
    8.1.2		 Förderung der “Gender-Forschung” beenden		                   52   10.4 		 Hohe Standards für Handelsabkommen		                 68
    8.1.3		 Diplom, Magister und Staatsexamen wieder einführen           52   10.5 		 Bürokratie abbauen					                              68
    8.1.4		 Studienanforderungen erhöhen			                              53   10.6 		 Den Technologiestandort Deutschland voranbringen     68
    8.2 		 Unser Schulsystem: Stark durch Differenzierung                53   10.7 		 Staatliche Subventionen reduzieren und befristen     69
    8.2.1		 Die Einheitsschule führt zu Qualitätsverlust		               53   10.8 		 Keine Privatisierung gegen den Willen der Bürger     69
    8.2.2		 Wissensvermittlung muss zentrales Anliegen bleiben           53   10.9 		 Der Mittelstand als Herz unserer Wirtschaftskraft    69
    8.2.3		 Leistungsbereitschaft und Disziplin stärken		                54   10.10 Digitalisierung als Chance und Herausforderung         69
    8.2.4		 Politisch-ideologische Indoktrination darf es an                  10.10.1 Quelloffene Software und sichere Hardware		          69
  			 der Schule nicht geben					                                        54   10.10.2 Sichere Kommunikation als Standortvorteil
    8.2.5 Duale berufliche Bildung stärken und erhalten                  54 		          und Bürgerrecht					                               70
    8.2.6		 Keine Inklusion “um jeden Preis”. Förder- und                     10.10.3 Deutsche Literatur im Inland digitalisieren		        70
    			      Sonderschulen erhalten				                                  54   10.11		 Verbraucherschutz modernisieren und stärken		        70
    8.2.7 		 Koranschulen schließen. Islamkunde in den                        10.11.1 Lebensmittel besser kennzeichnen			                  71
    			      Ethikunterricht integrieren				                             55   10.11.2 Langlebige Produkte statt geplante Obsoleszenz       71
    8.2.8 Keine Sonderrechte für muslimische Schüler		                   55   10.11.3 Textilien und Kinderspielzeug auf Schadstoffe prüfen 71
    8.3 		 Nein zu “Gender-Mainstreaming” und                                 10.11.4 Wasseraufbereitung modernisieren und verbessern      71
  			        Frühsexualisierung					                                     55
    8.3.1 		 Keine “geschlechterneutrale” Umgestaltung der
    			      deutschen Sprache					                                      55
    8.3.2 Geschlechterquoten sind leistungsfeindlich
  			        und ungerecht						                                         56
"
4,"4 Programm für Deutschland | Inhalt
  11 | Finanzen und Steuern					                                72 14 | Infrastruktur, Wohnen und Verkehr			                  89
    11.1 Gerechte Steuern durch AfD-Stufentarif			              74   14.1 Werterhalt vor Modernisierung und Neubau		          91
    11.2 Obergrenze für Steuern und Abgaben			                  74   14.2 Öffentlich-Privat-Projekte: Transparenz statt Lobby 91
    11.3 Familiensplitting einführen				                        74   14.3 Straßen- und Schienennetz : Substanz erhalten		     92
    11.4 Vermögen- und Erbschaftsteuer abschaffen,                   14.4 Grenzüberschreitender Güterverkehr:
  		Gewerbesteuer überprüfen				                                75 		     Auf Schiene und Wasser verlagern			                 92
    11.5 Umsatzsteuersätze harmonisieren			                     75   14.5 Freie Nutzung der Verkehrsmittel ohne Schikanen     92
    11.6 Wettbewerb der nationalen Steuersysteme erhalten       75   14.6 Eine Perspektive für den ländlichen Raum		          93
    11.7 Bank- und Steuergeheimnis wiederherstellen		           75   14.7 Wohnungspolitik: Baurecht vereinfachen,
    11.8 Föderalismus und Eigenständigkeit stärken		            76 		     Wohnraum schaffen					                              94
    11.9 Staatsschulden planmäßig tilgen			                     76   14.8 Stadtentwicklung:
    11.10 Bargeldnutzung muss uneingeschränkt erhalten bleiben  76 		     Nachverdichten, aber Bausünden verhindern		         95
    11.11 Geldsystem überdenken, Gold heimholen		               77
  12 | Energiepolitik						                                     78
    12.1 Klimaschutzpolitik: Irrweg beenden, Umwelt schützen    79
    12.2 Das Erneuerbare-Energien-Gesetz ist nicht reformierbar 80
    12.3 Zum Schutz von Mietern und Eigentümern:
  		      Energieeinsparverordnung und Erneuerbare-Energien-
  		Wärmegesetz abschaffen				                                  81
    12.4 Bioenergie: Subventionen beenden,
  		Vorrangeinspeisung einstellen				                           82
    12.5 Fracking: Risiken und Chancen erforschen,
  		      nicht ohne Bürgerbeteiligung				                      83
    12.6 Kernenergie: Alternativen erforschen.
  		      Bis dahin Laufzeitverlängerung				                    83
  13 | Natur- und Umweltschutz, Land- und Forstwirtschaft       84
    13.1  Intakte Natur und gesunde Umwelt			                   86
    13.2  Unkontrollierten Ausbau der Windenergie stoppen       86
    13.3  Tiere sind fühlende Wesen				                         86
    13.4  Schächten						                                       87
    13.5  Gentechnik						                                      87
    13.6  Landwirtschaft: Mehr Wettbewerb. Weniger Subventionen 88
    13.7  Fischerei, Forst und Jagd: Im Einklang mit der Natur  88
    13.8  Flächenkonkurrenz:
  		      Nicht zu Lasten der Land- und Forstwirtschaft		       88
"
5,Präambel.
6,"6 Programm für Deutschland | Präambel
  MUT ZU DEUTSCHLAND.                                              Als freie Bürger treten wir ein für direkte Demokratie,
                                                                 Gewaltenteilung und Rechtsstaatlichkeit, soziale Marktwirt-
  FREIE BÜRGER,                                                  schaft, Subsidiarität, Föderalismus, Familie und die gelebte
  KEINE UNTERTANEN.                                              Tradition der deutschen Kultur. Denn Demokratie und
                                                                 Freiheit stehen auf dem Fundament gemeinsamer kulturel-
    Wir sind Liberale und Konservative.                          ler Werte und historischer Erinnerungen. In der Tradition
  Wir sind freie Bürger unseres Landes.                          der beiden Revolutionen von 1848 und 1989 artikulieren wir
  Wir sind überzeugte Demokraten.                                mit unserem bürgerlichen Protest den Willen, die nationale
                                                                 Einheit in Freiheit zu vollenden und ein Europa souveräner
    Zusammengefunden haben wir uns als Bürger mit unter-         demokratischer Staaten zu schaffen, die einander in Frieden,
  schiedlicher Geschichte und Erfahrung, mit unterschiedli-      Selbstbestimmung und guter Nachbarschaft verbunden sind.
  cher Ausbildung, mit unterschiedlichem politischen Werde-
  gang. Das geschah in dem Bewusstsein, dass es an der Zeit        Wir setzen uns mit ganzer Kraft dafür ein, unser Land im
  war, ungeachtet aller Unterschiede, gemeinsam zu handeln       Geist von Freiheit und Demokratie grundlegend zu erneuern
  und verantwortungsbewusst zu tun, wozu wir uns verpflich-      und eben diesen Prinzipien wieder Geltung zu verschaffen.
  tet fühlen. Wir kamen zusammen in der festen Überzeugung,      Wir sind offen gegenüber der Welt, wollen aber Deutsche
  dass die Bürger ein Recht auf eine echte politische Alternati- sein und bleiben. Wir wollen die Würde des Menschen, die
  ve haben, eine Alternative zu dem, was die politische Klasse   Familie mit Kindern, unsere abendländische christliche
  glaubt, uns als „alternativlos“ zumuten zu können.             Kultur, unsere Sprache und Tradition in einem friedlichen,
                                                                 demokratischen und souveränen Nationalstaat des deut-
    Dem Bruch von Recht und Gesetz, der Zerstörung des           schen Volkes dauerhaft erhalten.
  Rechtsstaats und verantwortungslosem politischen Handeln         Unsere Ziele werden Wirklichkeit, indem wir den Staat
  gegen die Prinzipien wirtschaftlicher Vernunft konnten und     und seine Organe wieder in den Dienst der Bürger stellen,
  wollten wir nicht länger tatenlos zusehen. Ebenso wollten      so wie es der im Grundgesetz geregelte Amtseid aller Regie-
  wir nicht länger hinnehmen, dass durch das Regime der          rungsmitglieder vorsieht:
  EURO-Rettung längst überwundene Vorurteile und Feind-
  seligkeiten zwischen den europäischen Völkern neu aufbre-        „Ich schwöre, dass ich meine Kraft dem Wohle des deut-
  chen. Daher haben wir uns dafür entschieden, Deutschland       schen Volkes widmen, seinen Nutzen mehren, Schaden von
  und seinen Bürgern in allen Bereichen eine echte politische    ihm wenden, das Grundgesetz und die Gesetze des Bundes
  Alternative zu bieten.                                         wahren und verteidigen, meine Pflichten gewissenhaft er-
                                                                 füllen und Gerechtigkeit gegen jedermann üben werde.“
                                                                   In diesem Sinne geben wir uns
                                                                   das nachfolgende Grundsatzprogramm.
"
7,"KAPITEL 1
Demokratie und
Grundwerte
"
8,"8 Programm für Deutschland | Demokratie und Grundwerte
  DEMOKRATIE UND GRUNDWERTE
    Wir wollen Deutschland reformieren und an die Prinzipien    Heimlicher Souverän ist eine kleine, machtvolle politische
  und Wurzeln anknüpfen, die erst zu seinem Wirtschaftswun-   Führungsgruppe innerhalb der Parteien. Sie hat die Fehl-
  der und dann zu seinem jahrzehntelangen sozialen, wirt-     entwicklungen der letzten Jahrzehnte zu verantworten. Es
  schaftlichen und gesellschaftlichen Erfolg geführt haben.   hat sich eine politische Klasse von Berufspolitikern heraus-
                                                              gebildet, deren vordringliches Interesse ihrer Macht, ihrem
    Deutschlands Staatsapparat hat inzwischen ein ungutes     Status und ihrem materiellen Wohlergehen gilt. Es handelt
  Eigenleben entwickelt. Die Machtverteilung entspricht nicht sich um ein politisches Kartell, das die Schalthebel der
  mehr den Grundsätzen der Gewaltenteilung. Zudem ist der     staatlichen Macht, soweit diese nicht an die EU übertragen
  öffentliche Sektor über sachgerechte Grenzen hinausgewu-    worden ist, die gesamte politische Bildung und große Teile
  chert. Die staatlichen Organe wieder an ihren Auftrag zu    der Versorgung der Bevölkerung mit politischen Informatio-
  binden und den Staat an seine Kernaufgaben zu erinnern, ist nen in Händen hat.
  wesentlicher Teil unserer Politik.
                                                                Nur das Staatsvolk der Bundesrepublik Deutschland kann
    Spätestens mit den Verträgen von Schengen (1985),         diesen illegitimen Zustand beenden.
  Maastricht (1992) und Lissabon (2007) hat sich die unantas-
  tbare Volkssouveränität als Fundament unseres Staates als
  Fiktion herausgestellt.
"
9,"9 Programm für Deutschland | Demokratie und Grundwerte
  1.1 Volksabstimmungen nach Schweizer Vorbild                   Abstimmungsfragen finanzieller Natur sind ausdrücklich
                                                               erlaubt. Deutschland steht in einigen gesellschaftlichen
    Die AfD setzt sich dafür ein, Volksentscheide in Anlehnung
                                                               Themen vor elementaren politischen Weichenstellungen. Die
  an das Schweizer Vorbild auch in Deutschland einzuführen.
                                                               Verantwortung hierfür kann und darf keine Regierung ohne
  Wir wollen dem Volk das Recht geben, über vom Parlament
                                                               eine unmittelbare Befragung der Bürger übernehmen. Die
  beschlossene Gesetze abzustimmen. Dieses Recht würde in
                                                               Einführung von Volksabstimmungen nach Schweizer Modell
  kürzester Zeit präventiv mäßigend auf das Parlament wir-
                                                               ist für die AfD deshalb nicht verhandelbarer Inhalt jeglicher
  ken und die Flut der oftmals unsinnigen Gesetzesvorlagen
                                                               Koalitionsvereinbarungen.
  nachhaltig eindämmen. Zudem würden die Regelungsinhalte
  sorgfältiger bedacht, um in Volksabstimmungen bestehen zu
                                                               1.2 Schlanker Staat für freie Bürger
  können. Auch Beschlüsse des Parlaments in eigener Sache,
  beispielsweise über Diäten oder andere Mittelzuweisungen,      Der Staat ist für den Bürger da, nicht der Bürger für den
  würden wegen der Überprüfungsmöglichkeit der Bürger          Staat. Nur ein schlanker Staat kann daher ein guter Staat
  maßvolle Inhalte haben. Gesetzesinitiativen aus dem Volk     sein. Erforderlich ist ein vom Staat garantierter Ordnungs-
  haben eigene Gesetzesvorlagen zum Gegenstand und können      rahmen, in dem sich die Bürger frei entfalten können.
                                                                                                                             Die AfD setzt sich dafür ein,
  durch die Stimmbürger angestoßen werden.                       Die ständige, vielfach ideologiegetriebene Expansion der
                                                                                                                             Volksentscheide in Anlehnung
                                                               Staatsaufgaben stößt an finanzielle und faktische Grenzen.    an das Schweizer Vorbild
    Ohne Zustimmung des Volkes darf das Grundgesetz nicht      Sie bedroht inzwischen den Kerngehalt der elementaren         auch in Deutschland
  geändert und kein bedeutsamer völkerrechtlicher Vertrag      Freiheitsrechte der Bürger. Der Staat hat sich verzettelt. Es einzuführen.
  geschlossen werden. Das Volk muss das Recht haben, auch      bedarf neuer Konzentration auf die vier klassischen Gebiete:
  initiativ über Änderungen der Verfassung selbst zu beschlie- Innere und äußere Sicherheit, Justiz, Auswärtige Beziehun-
  ßen. Besonders der Abgabe nationaler Souveränität an die     gen und Finanzverwaltung.
  EU und andere internationale Organisationen über die Köp-
  fe der Bürger hinweg ist hierdurch der Riegel vorgeschoben.    Aufgaben jenseits dieser vier Kerngebiete bedürfen beson-
    Das deutsche Volk ist ebenso mündig wie das der Schwei-    derer Rechtfertigung. Wir wollen prüfen, inwieweit vorhan-
  zer, um ohne Einschränkung über jegliche Themen direkt       dene staatliche Einrichtungen durch private oder andere
  abzustimmen. Eine natürliche Schranke ergibt sich durch      Organisationsformen ersetzt werden können. Die gewaltige
  Grundsätze des Völkerrechts.                                 demografische Problemlage, die uns in Deutschland be-
                                                               vorsteht, wird uns zu einem veränderten Staatsverständnis
    Die Schweizer Erfahrung belegt, dass sich die Bürger       zwingen.
  gemeinwohlorientierter verhalten als Berufspolitiker, selbst
  wenn Eigeninteressen damit kollidieren. Macht- und interes-    Grundlage unserer politischen Überzeugungen ist ein
  sengetriebene Entscheidungen sind eher in rein repräsenta-   differenziertes Menschenbild, das sich der Freiheitschancen,
  tiven Demokratien zu beobachten.                             aber auch der Gefährdungen des Menschen stets bewusst
"
10,"10 Programm für Deutschland | Demokratie und Grundwerte
   bleibt. Wir glauben nicht an die Verheißungen politischer    1.3 Die Gewaltenteilung gewährleisten
   Ideologien oder an die Heraufkunft eines besseren, eines
                                                                  Der Staat Bundesrepublik Deutschland ist nach der
   ‚Neuen Menschen‘. Eine Geschichtsphilosophie, die von
                                                                deutschen Verfassungstradition von 1848, 1871 und 1919
   einer Höherentwicklung der individuellen menschlichen
                                                                im Grundgesetz von 1949 als Rechtsstaat mit Gewaltentei-
   Moral ausgeht, halten wir für anmaßend und gefährlich.
                                                                lung angelegt. Die Gewaltenteilung - eine staatstheoretische
                                                                Grundlage jeder modernen Demokratie - ist jedoch durch
     Die geschichtliche Entwicklung bleibt unabgeschlossen
                                                                zahlreiche einfachgesetzliche Regelungen erheblich beein-
   und offen für überraschende Wendungen und Aufbrüche,
                                                                trächtigt. Es geht dabei im Kern um die wechselseitige Kont-
   aber auch für Krisen und Katastrophen. Insofern wird es
                                                                rolle der legislativen, exekutiven und judikativen Funktionen
   auch niemals ein ‘Ende der Geschichte‘ geben, also eine
                                                                eines Staates. Ihr Ziel ist es, überbordende unkontrollierte
   Situation, in der Politik gänzlich aufhört und das Ringen
                                                                Ausübung von Staatsgewalt zu verhindern. Minister als
   um den richtigen politischen Weg überflüssig wird. Freiheit,
                                                                Abgeordnete in Parlamenten, welche die Exekutive kont-
   Stabilität und wirtschaftliches Wohlergehen müssen in jeder
                                                                rollieren sollen, und ehemalige Politiker auf Richterstühlen
   Generation aufs Neue errungen und gesichert werden.
                                                                sind mit dem urdemokratischen Konstruktionsprinzip der
                                                                Gewaltenteilung nicht vereinbar. Das gleiche gilt für partei-
     Eine realistische Politik sollte sich der Unvollkommenheit
                                                                politische Netzwerke, sofern diese über persönliche Bezie-
   und Vorläufigkeit ihrer möglichen Ergebnisse stets bewusst
                                                                hungen der Amts- und Funktionsträger die wechselseitige
   bleiben. Sie sollte einkalkulieren, dass kein noch so kluger
                                                                Machtkontrolle der Gewalten behindern oder aushöhlen.
   politischer Akteur eine vollständige Kenntnis der Bedin-
   gungen und Möglichkeiten seines Handelns erlangen kann.
                                                                1.4 Trennung von Amt und Mandat
   Die auf vielen Politikfeldern durch die etablierten Parteien
   propagierte Alternativlosigkeit vermeintlicher Sachzwänge      Der schwerwiegendste Verstoß gegen die Gewaltenteilung
   halten wir für in hohem Maße demokratie- und rechtsstaats-   findet derzeit dadurch statt, dass die Exekutive (vollziehende
   gefährdend.                                                  Gewalt) als Regierung nicht von der Legislative (gesetzge-
                                                                bende Gewalt, Parlament) personell getrennt ist. Die AfD
     Rechtsstaatsprinzip und Vertragstreue sowie demokrati-     will hier gegensteuern. Jeder Beamte muss beim Eintritt
   sche Legitimation haben für uns Vorrang vor kurzfristigem    in ein deutsches Parlament - dem Prinzip der Gewaltentei-
   Aktionismus und wahlwirksamer Effekthascherei. Als ‚Partei   lung folgend - sein Beamtenverhältnis ruhen lassen. Jedoch
   des gesunden Menschenverstandes‘ setzen wir auf das poli-    ausgerechnet bei den Spitzen der Exekutive ist dieses Prinzip
   tische Urteilsvermögen und die Verantwortungsbereitschaft    ausgesetzt. Wer Parlamentarier ist, soll in Zukunft nicht
   der mündigen Bürger. Richtschnur unseres Handelns ist die    mehr Teil der Exekutive sein dürfen und umgekehrt. Parla-
   Grundüberzeugung, dass die Bürger das politische Gesche-     mentarische Staatssekretäre und Staatsminister sind ersatz-
   hen so weit wie möglich selbst bestimmen können sollen.
"
