text,page
"PROGRAMM FÜR
DEUTSCHLAND.
Das Grundsatzprogramm der
Alternative für Deutschland.
",1
"2   Inhaltsverzeichnis




    Präambel						                                              8

    1 | Demokratie und Grundwerte				                           12

    1.1 Volksabstimmungen nach Schweizer Vorbild		              16
    1.2 Schlanker Staat für freie Bürger				                    17
    1.3 Die Gewaltenteilung gewährleisten			                    19
    1.4 Trennung von Amt und Mandat				                         19
    1.5 Macht der Parteien beschränken			                       20
    1.5.1 Parteienfinanzierung dem Verfassungsrecht anpassen    21
    1.5.2 Freie Listenwahl und freies Mandat			                 22
    1.5.3 Verkleinerung des Bundestages				                     23
    1.5.4 Wider das Berufspolitikertum: Amtszeit begrenzen      24
    1.5.5 Direktwahl des Bundespräsidenten durch das Volk       24
    1.6 Lobbyismus eindämmen				                                25
    1.6.1 Private Rentenvorsorge für Parlamentarier		           26
    1.6.2 Einführung eines Straftatbestandes der
    		    Steuerverschwendung					                              26


    2 | Europa und Euro						                                   28

      2.1   Ein Europa der Vaterländer				                      32
      2.2   Kompetenzen an die Nationalstaaten zurückgeben      32
      2.3   Bündelung gemeinsamer europäischer Interessen       34
      2.4   Volksabstimmung über den EURO			                    35
      2.5   Keine deutsche Haftung für ausländische Banken      40


    3 | Innere Sicherheit und Justiz				                        44

     3.1    Polizei stärken und Strafjustiz verbessern		        48
     3.2    Weisungsfreie Staatsanwälte, unabhängige Richter
    		      und parteiferne Rechnungshöfe				                   49
     3.3    Angriffe auf Amtspersonen härter bestrafen		        50
     3.4    Opferschutz statt Täterschutz				                   50
     3.5    Waffenrecht muss nicht verschärft werden		          51
     3.6    Kein Datenschutz für Täter				                      52
     3.7    Organisierte Kriminalität nachhaltig bekämpfen		    52
     3.8    Zivil- und Fachgerichte sind ein Standortfaktor		   53
     3.9    Deutsche Grenzen schützen				                       53
",2
"                                                 Inhaltsverzeichnis   3




4 | Außen- und Sicherheitspolitik				                           54

  4.1 Vereinte Nationen reformieren				                         58
  4.2 NATO als Verteidigungsbündnis			                          59
  4.3 OSZE und europäische Sicherheitsstruktur		                60
  4.4 Bundeswehr stärken					                                   61
  4.4.1 Keine europäische Armee				                             61
  4.4.2 Wehrpflicht wieder einsetzen                            62
  4.5 Entwicklungshilfe					                                    63


5 | Arbeitsmarkt und Sozialpolitik			                           66

5.1 Arbeitsmarkt von unnötiger Bürokratie befreien		            70
5.2 Bundesagentur für Arbeit auflösen und kommunale
		    Jobcenter aufwerten					                                  70
5.3 Mindestlohn beibehalten				                                 71
5.4 Reform der sozialen Sicherungssysteme			                    71
5.4.1 Finanzielle Benachteiligung von Familien beseitigen       72
5.4.2 “Aktivierende Grundsicherung” - Arbeit, die sich lohnt    72
5.4.3 Kinder und Erziehungsleistung bei der Rente
		    berücksichtigen						                                     73
5.4.4 Pflege durch Angehörige aufwerten                         73


6 | Familien und Kinder					                                    76

  6.1   Bekenntnis zur traditionellen Familie als Leitbild      80
  6.2   Mehr Kinder statt Masseneinwanderung		                  81
  6.3   Mehr Unterstützung für Familien			                      83
  6.4   Wirtschaftliche Zukunft trotz Demografiekrise           83
  6.5   Diskriminierung der Vollzeit-Mütter stoppen		           84
  6.6   Alleinerziehende unterstützen. Familien stärken         86
  6.7   Willkommenskultur für Neu- und Ungeborene		             87
",3
"4   Inhaltsverzeichnis




    7 | Kultur, Sprache und Identität				                                 88

      7.1 		 Deutsche Kultur, Sprache und Identität erhalten               92
      7.2 		 Deutsche Leitkultur statt Multikulturalismus		                92
      7.3 		 Die deutsche Sprache als Zentrum unserer Identität            93
      7.4     Kultur und Kunst von Einflussnahme der Parteien befreien 94
      7.5 		 Für eine zeitgemäße Medienpolitik: Rundfunkbeitrag abschaffen 94
      7.6 		 Der Islam im Spannungsverhältnis zu unserer Werteordnung 95
      7.6.1		 Der Islam gehört nicht zu Deutschland			                     96
      7.6.2		 Kritik am Islam muss erlaubt sein			                         96
      7.6.3 Auslandsfinanzierung von Moscheen beenden                      97
      7.6.4		 Keine öffentlich-rechtliche Körperschaft für
      			     islamische Organisationen				                                98
      7.6.5		 Keine Vollverschleierung im öffentlichen Raum                98


    8 | Schule, Hochschule und Forschung			                               100

     8.1 		 Forschung und Lehre: In Freiheit und als Einheit              102
     8.1.1 Autonomie durch Grundfinanzierung stärken                      102
     8.1.2		 Förderung der “Gender-Forschung” beenden		                   103
     8.1.3		 Diplom, Magister und Staatsexamen wieder einführen           103
     8.1.4		 Studienanforderungen erhöhen			                              104
     8.2 		 Unser Schulsystem: Stark durch Differenzierung                105
     8.2.1		 Die Einheitsschule führt zu Qualitätsverlust		               105
     8.2.2		 Wissensvermittlung muss zentrales Anliegen bleiben           105
     8.2.3		 Leistungsbereitschaft und Disziplin stärken		                106
     8.2.4		 Politisch-ideologische Indoktrination darf es an
    			 der Schule nicht geben					                                       106
     8.2.5 Duale berufliche Bildung stärken und erhalten                  107
     8.2.6		 Keine Inklusion “um jeden Preis”. Förder- und
     			      Sonderschulen erhalten				                                  107
     8.2.7 		 Koranschulen schließen. Islamkunde in den
     			      Ethikunterricht integrieren				                             108
     8.2.8 Keine Sonderrechte für muslimische Schüler		                   108
     8.3 		 Nein zu “Gender-Mainstreaming” und
    			       Frühsexualisierung					                                     108
     8.3.1 		 Keine “geschlechterneutrale” Umgestaltung der
     			      deutschen Sprache					                                      109
     8.3.2 Geschlechterquoten sind leistungsfeindlich
    			       und ungerecht						                                         110
",4
"                                              Inhaltsverzeichnis      5




9 | Einwanderung, Integration und Asyl			                       112

9.1 Keine irreguläre Einwanderung über das Asylrecht 116
9.1.1 Asylzuwanderung - für einen Paradigmenwechsel  116
9.1.2 Rückführung - Schluss mit Fehlanreizen und 				
  falscher Nachsicht						                           120
9.2 Einwanderung aus EU-Staaten				                  121
9.3 Gesteuerte Einwanderung aus Drittstaaten		       122
9.4 Integration - Mehr als nur Deutsch lernen		      124
9.5 Kosten der Einwanderung - Transparenz herstellen 125
9.6 Einwandererkriminalität - nichts verschleiern,
		    nichts verschweigen					                       127
9.7 Einbürgerung - Abschluss gelungener Integration  128


10 | Wirtschaft, digitale Welt und Verbraucherschutz            130

 10.1		 Freier Wettbewerb sichert unseren Wohlstand		           132
 10.2 		 Soziale Marktwirtschaft statt Planwirtschaft		         132
 10.3 		 Internationale Wirtschaftspolitik neu ausrichten       133
 10.4 		 Hohe Standards für Handelsabkommen		                   134
 10.5 		 Bürokratie abbauen					                                135
 10.6 		 Den Technologiestandort Deutschland voranbringen       135
 10.7 		 Staatliche Subventionen reduzieren und befristen       136
 10.8 		 Keine Privatisierung gegen den Willen der Bürger       136
 10.9 		 Der Mittelstand als Herz unserer Wirtschaftskraft      137
 10.10 Digitalisierung als Chance und Herausforderung           137
 10.10.1 Quelloffene Software und sichere Hardware		            138
 10.10.2 Sichere Kommunikation als Standortvorteil
		         und Bürgerrecht					                                 138
 10.10.3 Deutsche Literatur im Inland digitalisieren		          139
 10.11		 Verbraucherschutz modernisieren und stärken		          139
 10.11.1 Lebensmittel besser kennzeichnen			                    140
 10.11.2 Langlebige Produkte statt geplante Obsoleszenz         140
 10.11.3 Textilien und Kinderspielzeug auf Schadstoffe prüfen   140
 10.11.4 Wasseraufbereitung modernisieren und verbessern        141
",5
"6   Inhaltsverzeichnis




    11 | Finanzen und Steuern					                                 142

     11.1 Gerechte Steuern durch AfD-Stufentarif			                146
     11.2 Obergrenze für Steuern und Abgaben			                    146
     11.3 Familiensplitting einführen				                          147
     11.4 Vermögen- und Erbschaftsteuer abschaffen,
    		Gewerbesteuer überprüfen				                                 147
     11.5 Umsatzsteuersätze harmonisieren			                       148
     11.6 Wettbewerb der nationalen Steuersysteme erhalten         149
     11.7 Bank- und Steuergeheimnis wiederherstellen		             149
     11.8 Föderalismus und Eigenständigkeit stärken		              149
     11.9 Staatsschulden planmäßig tilgen			                       150
     11.10 Bargeldnutzung muss uneingeschränkt erhalten bleiben    151
     11.11 Geldsystem überdenken, Gold heimholen		                 152


    12 | Energiepolitik						                                      154

     12.1 Klimaschutzpolitik: Irrweg beenden, Umwelt schützen      156
     12.2 Das Erneuerbare-Energien-Gesetz ist nicht reformierbar   157
     12.3 Zum Schutz von Mietern und Eigentümern:
    		    Energieeinsparverordnung und Erneuerbare-Energien-
    		Wärmegesetz abschaffen				                                   160
     12.4 Bioenergie: Subventionen beenden,
    		Vorrangeinspeisung einstellen				                            162
     12.5 Fracking: Risiken und Chancen erforschen,
    		    nicht ohne Bürgerbeteiligung				                         163
     12.6 Kernenergie: Alternativen erforschen.
    		    Bis dahin Laufzeitverlängerung				                       164


    13 | Natur- und Umweltschutz, Land- und Forstwirtschaft 166

     13.1 Intakte Natur und gesunde Umwelt			                      170
     13.2 Unkontrollierten Ausbau der Windenergie stoppen          170
     13.3 Tiere sind fühlende Wesen				                            171
     13.4 Schächten						                                          172
     13.5 Gentechnik						                                         172
     13.6 Landwirtschaft: Mehr Wettbewerb. Weniger Subventionen    174
     13.7 Fischerei, Forst und Jagd: Im Einklang mit der Natur     175
     13.8 Flächenkonkurrenz:
    		    Nicht zu Lasten der Land- und Forstwirtschaft		          175
",6
"                                           Inhaltsverzeichnis     7




14 | Infrastruktur, Wohnen und Verkehr			                   176

 14.1 Werterhalt vor Modernisierung und Neubau		            180
 14.2 Öffentlich-Privat-Projekte: Transparenz statt Lobby   180
 14.3 Straßen- und Schienennetz : Substanz erhalten		       181
 14.4 Grenzüberschreitender Güterverkehr:
		    Auf Schiene und Wasser verlagern			                   182
 14.5 Freie Nutzung der Verkehrsmittel ohne Schikanen       183
 14.6 Eine Perspektive für den ländlichen Raum		            184
 14.7 Wohnungspolitik: Baurecht vereinfachen,
		    Wohnraum schaffen					                                186
 14.8 Stadtentwicklung:
		    Nachverdichten, aber Bausünden verhindern		           188
",7
,8
"KAPITEL 1




Demokratie und
Grundwerte
 Präambel
",9
"10   Präambel


     MUT ZU DEUTSCHLAND.
     FREIE BÜRGER,
     KEINE UNTERTANEN.
     Wir sind Liberale und Konservative.
     Wir sind freie Bürger unseres Landes.
     Wir sind überzeugte Demokraten.

     Zusammengefunden haben wir uns als Bürger mit unter-
     schiedlicher Geschichte und Erfahrung, mit unterschied-
     licher Ausbildung, mit unterschiedlichem politischen
     Werdegang. Das geschah in dem Bewusstsein, dass es an
     der Zeit war, ungeachtet aller Unterschiede, gemeinsam zu
     handeln und verantwortungsbewusst zu tun, wozu wir uns
     verpflichtet fühlen. Wir kamen zusammen in der festen
     Überzeugung, dass die Bürger ein Recht auf eine echte po-
     litische Alternative haben, eine Alternative zu dem, was die
     politische Klasse glaubt, uns als „alternativlos“ zumuten zu
     können.

     Dem Bruch von Recht und Gesetz, der Zerstörung des
     Rechtsstaats und verantwortungslosem politischen Han-
     deln gegen die Prinzipien wirtschaftlicher Vernunft konn-
     ten und wollten wir nicht länger tatenlos zusehen. Ebenso
     wollten wir nicht länger hinnehmen, dass durch das
     Regime der EURO-Rettung längst überwundene Vorurteile
     und Feindseligkeiten zwischen den europäischen Völkern
     neu aufbrechen. Daher haben wir uns dafür entschieden,
     Deutschland und seinen Bürgern in allen Bereichen eine
     echte politische Alternative zu bieten.

     Als freie Bürger treten wir ein für direkte Demokratie,
     Gewaltenteilung und Rechtsstaatlichkeit, soziale Markt-
     wirtschaft, Subsidiarität, Föderalismus, Familie und die
",10
