id,preis,wohflaeche,grundstuecksflaeche,badezimmer,schlafzimmer,baujahr,garage,kamin,pool,umbau
1,89745,288,791,2,4,1959,Nein,Nein,Nein,Nein
2,132732,196,721,2,3,2002,Ja,Ja,Nein,Nein
3,96532,197,922,2,3,1954,Ja,Nein,Nein,Nein
4,105582,254,1049,1,2,1953,Ja,Ja,Nein,Nein
5,62595,137,181,1,2,1976,Ja,Nein,Nein,Nein
6,120666,313,1003,2,3,1899,Ja,Ja,Nein,Ja
7,130470,198,1081,2,3,2005,Ja,Ja,Nein,Ja
8,133863,268,834,2,4,1965,Ja,Ja,Nein,Nein
9,105582,236,894,1,3,1950,Ja,Nein,Nein,Ja
10,207394,370,1183,3,4,2002,Ja,Ja,Nein,Nein
11,86728,165,784,2,3,1968,Ja,Nein,Nein,Nein
12,273383,333,1220,3,4,1992,Ja,Ja,Nein,Nein
13,111239,226,1130,1,3,1950,Ja,Nein,Nein,Nein
14,88614,172,846,1,2,1965,Ja,Nein,Nein,Nein
15,109730,191,709,2,2,1952,Ja,Nein,Nein,Ja
16,110862,190,1116,2,2,1948,Ja,Nein,Nein,Ja
17,81449,125,948,1,2,1938,Ja,Nein,Nein,Ja
18,141782,278,895,2,3,1993,Ja,Ja,Nein,Ja
19,108599,234,823,1,3,1914,Ja,Ja,Nein,Ja
20,160636,276,779,3,3,2003,Ja,Nein,Nein,Ja
21,196082,279,451,3,2,2004,Ja,Ja,Nein,Ja
22,94195,171,562,1,2,1931,Ja,Nein,Nein,Ja
23,126699,246,1642,1,4,1883,Ja,Ja,Nein,Ja
24,75114,160,866,2,2,1976,Nein,Nein,Nein,Nein
25,64481,121,548,1,2,1922,Nein,Nein,Nein,Ja
26,165915,251,1105,3,3,2009,Ja,Ja,Nein,Nein
27,98041,160,835,1,3,1972,Ja,Nein,Nein,Ja
28,111917,198,158,3,2,1979,Ja,Nein,Nein,Ja
29,105205,187,1188,2,2,1951,Ja,Nein,Nein,Ja
30,105281,162,1270,2,4,1955,Ja,Ja,Nein,Nein
31,92385,180,1011,1,3,1955,Ja,Nein,Nein,Nein
32,174588,250,1430,3,3,1998,Ja,Nein,Nein,Nein
33,68629,134,149,2,2,1972,Ja,Nein,Nein,Nein
34,161390,242,880,3,3,1998,Ja,Ja,Nein,Nein
35,65989,201,891,2,3,1910,Ja,Nein,Nein,Ja
36,198344,307,1091,3,4,1991,Ja,Ja,Nein,Ja
37,162144,258,1135,3,3,2000,Ja,Ja,Nein,Ja
38,79111,187,904,2,4,1925,Ja,Nein,Nein,Ja
39,145176,271,297,2,2,2005,Ja,Ja,Nein,Ja
40,127076,211,196,2,2,2000,Ja,Ja,Nein,Nein
41,177228,381,1724,3,3,1980,Ja,Ja,Nein,Nein
42,183638,351,1001,3,4,1994,Ja,Ja,Nein,Nein
43,116141,243,977,1,3,1954,Ja,Nein,Nein,Nein
44,180923,252,972,2,3,2005,Ja,Ja,Nein,Nein
45,112747,168,236,3,2,2005,Ja,Nein,Nein,Ja
46,76924,181,573,1,2,1925,Ja,Ja,Nein,Ja
47,227002,287,745,3,3,2004,Ja,Ja,Nein,Ja
48,212080,332,1176,2,4,2005,Ja,Ja,Nein,Ja
