district_nr,district_name,parent_district_nr,registered_voters_1,registered_voters_2,registered_voters_3,registered_voters_4,votes_1,votes_2,votes_3,votes_4,votes_unvalid_1,votes_unvalid_2,votes_unvalid_3,votes_unvalid_4,votes_valid_1,votes_valid_2,votes_valid_3,votes_valid_4,CDU_1,CDU_2,CDU_3,CDU_4,SPD_1,SPD_2,SPD_3,SPD_4,Linke_1,Linke_2,Linke_3,Linke_4,Gruene_1,Gruene_2,Gruene_3,Gruene_4,CSU_1,CSU_2,CSU_3,CSU_4,FDP_1,FDP_2,FDP_3,FDP_4,AfD_1,AfD_2,AfD_3,AfD_4,Piraten_1,Piraten_2,Piraten_3,Piraten_4,NPD_1,NPD_2,NPD_3,NPD_4,FW_1,FW_2,FW_3,FW_4,Mensch_1,Mensch_2,Mensch_3,Mensch_4,ÖDP_1,ÖDP_2,ÖDP_3,ÖDP_4,Arbeit_1,Arbeit_2,Arbeit_3,Arbeit_4,Bayern_1,Bayern_2,Bayern_3,Bayern_4,Volk_1,Volk_2,Volk_3,Volk_4,Vernunft_1,Vernunft_2,Vernunft_3,Vernunft_4,MLPD_1,MLPD_2,MLPD_3,MLPD_4,Soli_1,Soli_2,Soli_3,Soli_4,Sozialist_1,Sozialist_2,Sozialist_3,Sozialist_4,Rechte_1,Rechte_2,Rechte_3,Rechte_4,ADD_1,ADD_2,ADD_3,ADD_4,Alli_1,Alli_2,Alli_3,Alli_4,berg_1,berg_2,berg_3,berg_4,Grueink_1,Grueink_2,Grueink_3,Grueink_4,Demo_1,Demo_2,Demo_3,Demo_4,DKP_1,DKP_2,DKP_3,DKP_4,Mitte_1,Mitte_2,Mitte_3,Mitte_4,Graue_1,Graue_2,Graue_3,Graue_4,Urbane_1,Urbane_2,Urbane_3,Urbane_4,Garten_1,Garten_2,Garten_3,Garten_4,Welt_1,Welt_2,Welt_3,Welt_4,Huma_1,Huma_2,Huma_3,Huma_4,Gesund_1,Gesund_2,Gesund_3,Gesund_4,V-Partei_1,V-Partei_2,V-Partei_3,V-Partei_4,Bund_C_1,Bund_C_2,Bund_C_3,Bund_C_4,Einheit_1,Einheit_2,Einheit_3,Einheit_4,Violetten_1,Violetten_2,Violetten_3,Violetten_4,Familien_1,Familien_2,Familien_3,Familien_4,Frauen_1,Frauen_2,Frauen_3,Frauen_4,Mieter_1,Mieter_2,Mieter_3,Mieter_4,Neue_Lib_1,Neue_Lib_2,Neue_Lib_3,Neue_Lib_4,Unabh_1,Unabh_2,Unabh_3,Unabh_4,sonstige_1,sonstige_2,sonstige_3,sonstige_4
1,Flensburg – Schleswig,1,225659,226944,225659,226944,171905,162749,171905,162749,1647,2223,1509,2113,170258,160526,170396,160636,68102,#,58307,61347,47697,59718,40376,52396,12138,7436,13995,9084,17899,12491,22290,15734,NA,NA,NA,NA,11143,3039,18948,8065,10581,5234,11647,6563,NA,3418,NA,3183,NA,955,354,929,1943,NA,1189,1042,NA,NA,NA,1459,NA,NA,297,NA,NA,NA,2091,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59,44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,843,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,755,NA,NA,790
2,Nordfriesland – Dithmarschen Nord,1,186384,186177,186384,186177,139200,131527,139200,131527,1299,1648,1125,1483,137901,129879,138075,130044,62260,64678,52933,56383,34685,41714,31120,38590,7102,4653,8589,5733,13036,8465,15154,10547,NA,NA,NA,NA,11103,3172,18048,8321,8110,3973,9023,4994,NA,2467,NA,2413,NA,757,311,733,1605,NA,855,755,NA,NA,NA,969,NA,NA,173,NA,NA,NA,1376,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,430,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,561
3,Steinburg – Dithmarschen Süd,1,175950,176731,175950,176731,132016,126409,132016,126409,1133,1523,1141,1451,130883,124886,130875,124958,54812,56669,47367,52408,34221,42476,29757,37502,7175,4909,8732,6286,8791,6386,12960,9485,NA,NA,NA,NA,14441,6324,17294,7689,10003,4468,11176,5492,NA,2674,NA,2709,NA,980,472,1038,1277,NA,1002,869,NA,NA,NA,930,NA,NA,192,NA,NA,NA,1446,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,163,NA,62,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,415,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,516
4,Rendsburg-Eckernförde,1,199632,198903,199632,198903,157387,149583,157387,149583,1285,1743,1119,1616,156102,147840,156268,147967,66625,66775,56584,60349,45070,54397,35767,46658,8074,4902,9962,6447,13978,10306,19337,13707,NA,NA,NA,NA,10077,2754,19071,8126,10656,5084,11578,6500,NA,2756,NA,2620,NA,866,308,854,1622,NA,1031,716,NA,NA,NA,1290,NA,NA,237,NA,NA,NA,1754,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,584,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,668
5,Kiel,1,204650,205243,204650,205243,151463,146452,151463,146452,1657,1674,1290,1483,149806,144778,150173,144969,45691,47925,40011,43893,46517,62271,35836,50262,11050,7622,15466,10023,21577,14435,25904,20394,NA,NA,NA,NA,11179,3069,17480,7708,9193,4040,10390,5379,NA,3575,NA,3946,NA,834,250,802,NA,NA,537,473,NA,NA,NA,1201,NA,NA,341,NA,3995,NA,3186,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,265,NA,147,71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,339,NA,NA,NA,NA,NA,NA,NA,NA,1007,NA,817
6,Plön – Neumünster,1,174934,174746,174934,174746,131710,127093,131710,127093,1221,1681,1196,1520,130489,125412,130514,125573,53109,54833,43778,48683,37728,47085,31013,41094,7009,4708,8503,5987,11736,7979,16350,11577,NA,NA,NA,NA,9379,2322,16481,6722,10223,4837,11161,5901,NA,2167,NA,2154,NA,1162,476,1159,1305,NA,752,711,NA,NA,NA,1004,NA,NA,186,NA,NA,NA,1342,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61,46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,411,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,319,NA,535
7,Pinneberg,1,237474,235610,237474,235610,187711,179055,187711,179055,1616,1703,1339,1682,186095,177352,186372,177373,73816,80483,63863,72006,56460,64006,42729,55371,11270,6985,13111,8910,15379,11324,21336,15291,NA,NA,NA,NA,14441,3303,24735,9863,14729,6766,15977,8479,NA,3225,NA,3370,NA,1260,446,1319,NA,NA,954,786,NA,NA,NA,1271,NA,NA,428,NA,NA,NA,2200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,541,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,665
8,Segeberg – Stormarn-Mitte,1,245826,244240,245826,244240,193318,183250,193318,183250,1628,1735,1381,1660,191690,181515,191937,181590,78788,82471,66367,74161,52406,63998,43021,54691,10832,7003,13237,9112,16001,11141,21010,15695,NA,NA,NA,NA,15610,3722,26042,10449,15683,6879,17166,9034,NA,3546,NA,3686,NA,1190,463,1307,2370,1565,1531,1129,NA,NA,NA,1534,NA,NA,392,NA,NA,NA,2136,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,69,46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,503,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,746
9,Ostholstein – Stormarn-Nord,1,181480,180022,181480,180022,138415,131939,138415,131939,1151,1551,1142,1452,137264,130388,137273,130487,56994,59783,48893,53705,42221,48349,33762,41134,6062,4469,8301,5663,9535,7145,13489,10490,NA,NA,NA,NA,10044,2962,18140,8036,10787,4897,11780,6471,NA,2060,NA,2111,NA,723,303,737,1116,NA,868,709,NA,NA,NA,917,NA,NA,179,NA,NA,NA,1205,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,311,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,505,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,489
10,Herzogtum Lauenburg – Stormarn-Süd,1,244503,241257,244503,241257,193359,182982,193359,182982,1597,1708,1388,1560,191762,181274,191971,181422,75737,81954,66033,73603,52169,62749,42813,53944,9785,6834,12478,8962,18688,12774,20827,16579,NA,NA,NA,NA,15773,3901,26162,10878,17435,8351,18791,10210,NA,2908,NA,3031,NA,1356,491,1377,2175,NA,1265,776,NA,NA,NA,1385,NA,NA,424,NA,NA,NA,2112,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,524,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,447,NA,634
