party,screenName
afd,Alice_Weidel
afd,ArminPaulHampel
afd,Beatrix_vStorch
afd,FraukePetry
afd,Georg_Pazderski
afd,Joerg_Meuthen
afd,JulianFlak
afd,PoggenburgAndre
cdu,armin_schuster
cdu,ArminLaschet
cdu,AWidmannMauz
cdu,BettinaHornhues
cdu,ChristianHirte
cdu,drmfuchs
cdu,EgonJuettner
cdu,Erwin_Rueddel
cdu,franksteffel
cdu,fuchtel
cdu,groehe
cdu,guenterkrings
cdu,JanMetzler
cdu,JensKoeppen
cdu,JoWadephul
cdu,juergenhardt
cdu,JuliaKloeckner
cdu,kaiwegner
cdu,KGWellmann
cdu,kretsc
cdu,KudlaLeipzig
cdu,MaikBeermann
cdu,MarcusWeinberg
cdu,MdbWendt
cdu,MGrosseBroemer
cdu,peteraltmaier
cdu,petertauber
cdu,PeterWeissMdB
cdu,PLengsfeld
cdu,PSchnieder
cdu,rbrinkhaus
cdu,RKiesewetter
cdu,SibyllePfeiffer
cdu,SylviaPantel
cdu,Thomas_Bareiss
cdu,tj_tweets
cdu,UweSchummer
csu,AlexanderRadwan
csu,AndiScheuer
csu,AndreaLindholz
csu,BerndFabritius
csu,dieAlbsteigerin
csu,DoroBaer
csu,Florian_Ossner
csu,GudrunZollner
csu,hahnflo
csu,JohannesSingham
csu,Julia_Obermeier
csu,Markus_Soeder
csu,TobiasZech
fdp,c_lindner
fdp,christianduerr
fdp,DFoest
fdp,EUTheurer
fdp,FlorianOtt
fdp,franksitta
fdp,HAHNmeint
fdp,hansjoachimotto
fdp,HaukeHilz
fdp,Heiner_Garg
fdp,jimmyschulz
fdp,JoachimStamp
fdp,johannesvogel
fdp,JPirscher
fdp,KatjaSuding
fdp,kcortez66740
fdp,KemmerichThL
fdp,KH_Paque
fdp,kielclaas
fdp,KonstantinKuhle
fdp,Lambsdorff
fdp,LFLindemann
fdp,LindaTeuteberg
fdp,ManuelHoeferlin
fdp,MarcelKlingeVS
fdp,MarcoBuschmann
fdp,MarcusFaber
fdp,MAStrackZi
fdp,michael_g_link
fdp,Otto_Fricke
fdp,ruppert_stefan
fdp,solms
fdp,Stefan_Birkner
fdp,Wissing
fraktionslos,SteinbachErika
gruene,ABaerbock
gruene,agnieszka_mdb
gruene,BabettesChefin
gruene,BeateWaRo
gruene,BrigittePothmer
gruene,BriHasselmann
gruene,DorisWagner_MdB
gruene,ebner_sha
gruene,FOstendorff
gruene,GoeringEckardt
gruene,JTrittin
gruene,julia_verlinden
gruene,KaiGehring
gruene,KerstinAndreae
gruene,KoenigsGruen
gruene,lisapaus
gruene,markuskurthmdb
gruene,MarkusTressel
gruene,MdB_Stroebele
gruene,monikalazar
gruene,OezcanMutlu
gruene,RenateKuenast
gruene,SchickGerhard
gruene,stephankuehn
gruene,TabeaRoessner
gruene,terpeundteam
gruene,ToniHofreiter
gruene,WilmsVal
linke,AndrejHunko
linke,Annette_Groth
linke,berlinliebich
linke,Conni_Moehring
linke,DietmarBartsch
linke,ernst_klaus
linke,GregorGysi
linke,HeikeHaensel
linke,jan_vanaken
linke,JuttaKrellmann
linke,katjakipping
linke,KirstenTackmann
linke,LoetzschMdB
linke,MichaelLeutert
linke,MWBirkwald
linke,NicoleGohlke
linke,NiemaMovassat
linke,Oliver_Krischer
linke,Petra_Sitte_MdB
linke,PetraPauMaHe
linke,SWagenknecht
spd,Achim_P
spd,AnnetteSawade
spd,BaerbelKofler
spd,BetMueller
spd,brigittezypries
spd,ChristianFlisek
spd,ChStraesser
spd,danielakolbe
spd,edrossmann
spd,Elke_Ferner
spd,EskenSaskia
spd,EvaHoegl
spd,FrankeEdgar
spd,FrankSchwabe
spd,g_reichenbach
spd,GabiWeberSPD
spd,guentergloser
spd,HartmannMdB
spd,HeikoMaas
spd,HildeMattheis
spd,KaczmarekOliver
spd,KarambaDiaby
spd,Karl_Lauterbach
spd,kerstin_tack
spd,KerstinGriese
spd,LangeMdB
spd,LischkaB
spd,Lothar_Binding
spd,ManuelaSchwesig
spd,marcobuelow
spd,MarkusPaschke
spd,MatthiasIlgen
spd,MechthildHeil
spd,MechthildRawert
spd,michael_thews
spd,michaelaengel
spd,MiRo_SPD
spd,NielsAnnen
spd,oezdemir_spd
spd,oezoguz
spd,peersteinbrueck
spd,PErnstberger
spd,rainerarnold
spd,RebmannMdB
spd,rischwasu
spd,schneidercar
spd,Schwarz_MdB
spd,sebast_hartmann
spd,sigmargabriel
spd,silviaschmidt
spd,SoenkeRix
spd,soerenbartol
spd,SusannRuethrich
spd,ThomasOppermann
spd,waltraud_wolff
spd,ZieglerMdB
spd,zierke
trump,realDonaldTrump
