year,month,region,precip,temp
1881,1,Brandenburg/Berlin,20.4,-5.54
1881,1,Brandenburg,20.3,-5.56
1881,1,Baden-Wuerttemberg,36.2,-4.89
1881,1,Bayern,22.5,-6.51
1881,1,Hessen,33.2,-5.68
1881,1,Mecklenburg-Vorpommern,16.8,-5.07
1881,1,Niedersachsen,35.1,-4.55
1881,1,Niedersachsen/Hamburg/Bremen,34.9,-4.55
1881,1,Nordrhein-Westfalen,40.6,-4.21
1881,1,Rheinland-Pfalz,39.3,-4.49
1881,1,Schleswig-Holstein,21.5,-4.06
1881,1,Saarland,52.8,-4.1499999999999995
1881,1,Sachsen,21.8,-6.22
1881,1,Sachsen-Anhalt,23.5,-5.89
1881,1,Thueringen/Sachsen-Anhalt,25,-6.28
1881,1,Thueringen,26.8,-6.76
1881,1,Deutschland,28.7,-5.359999999999999
1882,1,Brandenburg/Berlin,19.7,1.43
1882,1,Brandenburg,19.6,1.42
1882,1,Baden-Wuerttemberg,23.6,-0.65
1882,1,Bayern,21.9,-1.33
1882,1,Hessen,22.9,-0.3
1882,1,Mecklenburg-Vorpommern,25.8,1.59
1882,1,Niedersachsen,34.6,1.73
1882,1,Niedersachsen/Hamburg/Bremen,34.6,1.73
1882,1,Nordrhein-Westfalen,35.2,1.26
1882,1,Rheinland-Pfalz,24.7,-0.17
1882,1,Schleswig-Holstein,43.4,2.11
1882,1,Saarland,29.2,-0.04
1882,1,Sachsen,17.6,0.63
1882,1,Sachsen-Anhalt,18.9,1.1800000000000002
1882,1,Thueringen/Sachsen-Anhalt,19.2,0.6
1882,1,Thueringen,19.4,-0.12000000000000001
1882,1,Deutschland,25.8,0.41000000000000003
1883,1,Brandenburg/Berlin,29.2,-0.41000000000000003
1883,1,Brandenburg,29.1,-0.42000000000000004
1883,1,Baden-Wuerttemberg,43.4,-0.09
1883,1,Bayern,50,-1.49
1883,1,Hessen,50,0.04
1883,1,Mecklenburg-Vorpommern,28.4,-0.69
1883,1,Niedersachsen,38.5,0.32999999999999996
1883,1,Niedersachsen/Hamburg/Bremen,38.5,0.32
1883,1,Nordrhein-Westfalen,56.3,1.27
1883,1,Rheinland-Pfalz,45.5,0.49
1883,1,Schleswig-Holstein,41.8,-0.12000000000000001
1883,1,Saarland,54,0.55
1883,1,Sachsen,37.6,-1.2
1883,1,Sachsen-Anhalt,27.9,-0.39
1883,1,Thueringen/Sachsen-Anhalt,33.2,-0.69
1883,1,Thueringen,39.7,-1.07
1883,1,Deutschland,42.2,-0.32
1884,1,Brandenburg/Berlin,51.6,3.3499999999999996
1884,1,Brandenburg,51.5,3.34
1884,1,Baden-Wuerttemberg,65.4,2.34
1884,1,Bayern,58.4,1.22
1884,1,Hessen,71.8,2.9699999999999998
1884,1,Mecklenburg-Vorpommern,58.5,3.16
1884,1,Niedersachsen,86.6,3.9899999999999998
1884,1,Niedersachsen/Hamburg/Bremen,86.7,3.9899999999999998
1884,1,Nordrhein-Westfalen,96.2,4.17
1884,1,Rheinland-Pfalz,69.2,3.24
1884,1,Schleswig-Holstein,93.4,3.56
1884,1,Saarland,80.6,3.24
1884,1,Sachsen,55.8,2.3899999999999997
1884,1,Sachsen-Anhalt,50.7,3.32
1884,1,Thueringen/Sachsen-Anhalt,54,2.9299999999999997
1884,1,Thueringen,58.1,2.4299999999999997
1884,1,Deutschland,68.4,2.86
1885,1,Brandenburg/Berlin,19.1,-2.15
1885,1,Brandenburg,19,-2.16
1885,1,Baden-Wuerttemberg,19.1,-3.88
1885,1,Bayern,16.6,-4.91
1885,1,Hessen,22.2,-2.66
1885,1,Mecklenburg-Vorpommern,22.7,-1.71
1885,1,Niedersachsen,33.6,-1.44
1885,1,Niedersachsen/Hamburg/Bremen,33.8,-1.44
1885,1,Nordrhein-Westfalen,35.9,-1.1400000000000001
1885,1,Rheinland-Pfalz,26.5,-2.01
1885,1,Schleswig-Holstein,46.7,-1.09
1885,1,Saarland,31.8,-2
1885,1,Sachsen,18.7,-2.8699999999999997
1885,1,Sachsen-Anhalt,18.4,-2.86
1885,1,Thueringen/Sachsen-Anhalt,18.4,-3.36
1885,1,Thueringen,18.4,-3.98
1885,1,Deutschland,24.2,-2.79
1886,1,Brandenburg/Berlin,34.8,-0.96
1886,1,Brandenburg,34.8,-0.96
1886,1,Baden-Wuerttemberg,71.2,-1.44
1886,1,Bayern,40,-2.9499999999999997
1886,1,Hessen,56.4,-1.01
1886,1,Mecklenburg-Vorpommern,41,-0.97
1886,1,Niedersachsen,62.8,-0.41000000000000003
1886,1,Niedersachsen/Hamburg/Bremen,63.1,-0.41000000000000003
1886,1,Nordrhein-Westfalen,87.4,0.19
1886,1,Rheinland-Pfalz,73.5,-0.33999999999999997
1886,1,Schleswig-Holstein,74,-0.5
1886,1,Saarland,105.3,-0.22
1886,1,Sachsen,41.7,-1.59
1886,1,Sachsen-Anhalt,31,-1.11
1886,1,Thueringen/Sachsen-Anhalt,35.3,-1.51
1886,1,Thueringen,40.7,-2.01
1886,1,Deutschland,54.8,-1.25
1887,1,Brandenburg/Berlin,2.6,-3.13
1887,1,Brandenburg,2.6,-3.14
1887,1,Baden-Wuerttemberg,9.9,-4.42
1887,1,Bayern,7.1,-5.9
1887,1,Hessen,6.8,-4.34
1887,1,Mecklenburg-Vorpommern,4.3,-2.74
