neg_pos,word,value,inflections
neg,Abbau,-0.058,"Abbaus,Abbaues,Abbauen,Abbaue"
neg,Abbruch,-0.0048,"Abbruches,Abbrüche,Abbruchs,Abbrüchen"
neg,Abdankung,-0.0048,Abdankungen
neg,Abdämpfung,-0.0048,Abdämpfungen
neg,Abfall,-0.0048,"Abfalles,Abfälle,Abfalls,Abfällen"
neg,Abfuhr,-0.3367,Abfuhren
neg,Abgrund,-0.3465,NA
neg,Abhängigkeit,-0.3653,Abhängigkeiten
neg,Ablehnung,-0.5118,Ablehnungen
neg,Ablenkung,-0.0435,Ablenkungen
neg,Abnahme,-0.0048,Abnahmen
neg,Abneigung,-0.0048,Abneigungen
neg,Abnutzung,-0.0048,NA
neg,Abriss,-0.0048,"Abrisse,Abrissen,Abrisses,Abrisss"
neg,Abrutsch,-0.0048,"Abrutschen,Abrutsche,Abrutsches,Abrutschs"
neg,Abschaffung,-0.058,Abschaffungen
neg,Abschreckung,-0.0048,Abschreckungen
neg,Abschreibung,-0.3345,Abschreibungen
neg,Abschuß,-0.0048,NA
neg,Abschwächung,-0.1935,Abschwächungen
neg,Absenkung,-0.3434,Absenkungen
neg,Abspaltung,-0.0048,Abspaltungen
neg,Absperrung,-0.0048,Absperrungen
neg,Abstieg,-0.3215,"Abstiegs,Abstiege,Abstiegen,Abstieges"
neg,Abstoß,-0.0048,"Abstößen,Abstöße,Abstoßs,Abstoßes"
neg,Abstrich,-0.3201,"Abstrichen,Abstrichs,Abstriches,Abstriche"
neg,Abstumpfung,-0.0048,NA
neg,Absturz,-0.4739,"Abstürzen,Absturzs,Absturzes,Abstürze"
neg,Absurdität,-0.0048,Absurditäten
neg,Abweichung,-0.3462,Abweichungen
neg,Abweisung,-0.0048,Abweisungen
neg,Abwertung,-0.3283,Abwertungen
neg,Abwärtstrend,-0.1941,NA
neg,Abzocke,-0.0048,NA
neg,Achtlosigkeit,-0.0048,NA
neg,Affäre,-0.1794,Affären
neg,Aggression,-0.4889,Aggressionen
neg,Aggressivität,-0.1958,Aggressivitäten
neg,Aggressor,-0.3155,"Aggressoren,Aggressors"
neg,Agitation,-0.0048,Agitationen
neg,Alarm,-0.0048,"Alarme,Alarms,Alarmen,Alarmes"
neg,Alptraum,-0.0048,"Alpträume,Alpträumen,Alptraums,Alptraumes"
neg,Amateur,-0.0048,"Amateuren,Amateure,Amateurs"
neg,Ambivalenz,-0.3266,Ambivalenzen
neg,Androhung,-0.0048,Androhungen
neg,Anfälligkeit,-0.0048,NA
neg,Angreifer,-0.0048,"Angreifers,Angreifern"
neg,Angriff,-0.212,"Angriffe,Angriffen,Angriffs,Angriffes"
neg,Angst,-0.514,"Angste,Angsten"
neg,Anklage,-0.3468,Anklagen
neg,Anmaßung,-0.0048,Anmaßungen
neg,Annullierung,-0.0048,Annullierungen
neg,Anomalie,-0.0048,Anomalien
neg,Anspannung,-0.0048,Anspannungen
neg,Anstrengung,-0.0048,Anstrengungen
neg,Antipathie,-0.0048,Antipathien
neg,Arbeitslose,-0.3549,Arbeitslosen
neg,Arbeitslosigkeit,-0.3654,NA
