row_number,time,sex,height,shoe_size
1,04.10.2016 17:58:51,woman,160,40
2,04.10.2016 17:58:59,woman,171,39
3,04.10.2016 18:00:15,woman,174,39
4,04.10.2016 18:01:17,woman,176,40
5,04.10.2016 18:01:22,man,195,46
6,04.10.2016 18:01:53,woman,157,37
7,04.10.2016 18:01:57,woman,160,38
8,04.10.2016 18:02:00,woman,178,39
9,04.10.2016 18:02:11,woman,168,38
10,04.10.2016 18:02:16,man,171,41
11,04.10.2016 18:02:22,woman,165,39
12,04.10.2016 18:02:25,man,175,44
13,04.10.2016 18:02:27,woman,163,38
14,04.10.2016 18:02:43,woman,158,37
15,04.10.2016 18:03:01,woman,159,38
16,04.10.2016 18:03:11,man,183,44
17,04.10.2016 18:03:14,woman,155,37
18,04.10.2016 18:03:19,woman,172,39
19,04.10.2016 18:03:44,woman,164,39
20,04.10.2016 18:03:49,woman,158,35
21,04.10.2016 18:04:45,woman,174,37
22,04.10.2016 18:07:51,woman,164,37
23,04.10.2016 18:07:53,woman,168,38
24,04.10.2016 18:10:17,woman,168,38
25,04.10.2016 18:13:00,woman,163,37
26,04.10.2016 18:51:58,woman,160,37
27,04.10.2016 19:04:42,man,183,46
28,04.10.2016 19:16:09,woman,161,38
29,04.10.2016 19:39:43,woman,162,36
30,04.10.2016 19:59:42,woman,165,37
31,04.10.2016 20:56:23,woman,164,36
32,11.10.2016 12:30:32,woman,161,37
33,11.10.2016 12:31:09,woman,163,39
34,11.10.2016 12:31:18,woman,169,40
35,11.10.2016 12:31:25,woman,171,39
36,11.10.2016 12:31:50,woman,163,38
37,11.10.2016 12:31:56,woman,159,36
38,11.10.2016 12:31:59,woman,180,42
39,11.10.2016 12:31:59,woman,168,38
40,11.10.2016 12:32:04,woman,170,38
41,11.10.2016 12:32:05,woman,168,38
42,11.10.2016 12:32:06,man,180,42
43,11.10.2016 12:32:10,man,183,44
44,11.10.2016 12:32:10,woman,170,40
45,11.10.2016 12:32:09,woman,172,39
46,11.10.2016 12:32:12,woman,163,38
47,11.10.2016 12:32:17,woman,168,38
48,11.10.2016 12:32:22,woman,1.84,41
49,11.10.2016 12:32:24,woman,169,38
50,11.10.2016 12:32:27,man,206,50
51,11.10.2016 12:32:32,woman,165,38
52,11.10.2016 12:32:32,woman,171,40
53,11.10.2016 12:32:33,woman,165,37
54,11.10.2016 12:32:33,woman,168,38
55,11.10.2016 12:32:42,man,180,44
56,11.10.2016 12:32:42,woman,160,40
57,11.10.2016 12:32:49,man,183,44
58,11.10.2016 12:32:50,woman,160,36.5
59,11.10.2016 12:33:01,woman,171,40
60,11.10.2016 12:33:13,woman,167,39
61,11.10.2016 12:33:15,woman,172,37
62,11.10.2016 12:33:17,woman,1.63,38
63,11.10.2016 12:33:30,woman,173,38
64,11.10.2016 12:33:34,man,187,44
65,11.10.2016 12:33:49,woman,176,40
66,11.10.2016 12:33:50,man,180,42
67,11.10.2016 12:33:53,woman,171.5,39
68,11.10.2016 12:34:07,woman,364,88
69,11.10.2016 12:34:18,woman,168,36
70,11.10.2016 12:34:38,woman,175,39
71,11.10.2016 12:34:55,man,185,42
72,11.10.2016 12:34:58,man,205,48
73,11.10.2016 12:35:03,woman,165,36
74,11.10.2016 12:35:25,man,175,42
75,11.10.2016 12:35:44,man,175,42
76,11.10.2016 12:36:06,man,172,41
77,11.10.2016 12:36:33,woman,156,36
78,11.10.2016 12:36:34,woman,1.68,38
79,11.10.2016 12:36:42,woman,163,37
80,11.10.2016 12:37:05,woman,163,38
81,11.10.2016 12:37:26,woman,1.73,38
82,11.10.2016 12:37:44,woman,169,39
83,11.10.2016 12:38:01,woman,178,39
84,11.10.2016 12:41:08,woman,170,38
85,11.10.2016 12:41:32,woman,168,38
86,11.10.2016 12:44:06,NA,NA,NA
87,11.10.2016 12:47:47,woman,170,39
88,11.10.2016 13:04:54,woman,173,40
89,15.10.2016 15:10:34,woman,171,40
90,16.10.2016 14:31:49,woman,163,38
91,16.10.2016 15:46:30,woman,166,38
92,16.10.2016 17:18:17,woman,159,38
93,16.10.2016 20:55:46,woman,178,41
94,16.10.2016 22:25:07,man,178,44
95,17.10.2016 08:31:01,woman,169,40
96,17.10.2016 08:36:38,woman,158,37
97,17.10.2016 12:37:09,woman,170,39
98,17.10.2016 13:12:48,woman,183,39
99,19.10.2016 17:07:53,woman,173,40
100,29.10.2016 20:28:33,woman,160,37
101,30.10.2016 11:57:57,woman,168,39
